School Name,Image Token,Roster Link,School Token
American University,AU-40.png,https://scores.collegesailing.org/schools/american/,american
Catholic University of America,CUOA-40.png,https://scores.collegesailing.org/schools/catholic-america/,catholic-america
Christopher Newport University,CNU-40.png,https://scores.collegesailing.org/schools/christopher-newport/,christopher-newport
Colgate University,CLG-40.png,https://scores.collegesailing.org/schools/colgate/,colgate
Columbia University,COL-40.png,https://scores.collegesailing.org/schools/columbia/,columbia
Cornell University,COR-40.png,https://scores.collegesailing.org/schools/cornell/,cornell
Drexel University,DRX-40.png,https://scores.collegesailing.org/schools/drexel/,drexel
Fordham University,FRD-40.png,https://scores.collegesailing.org/schools/fordham/,fordham
George Washington University,GWU-40.png,https://scores.collegesailing.org/schools/george-washington/,george-washington
Georgetown University,GTN-40.png,https://scores.collegesailing.org/schools/georgetown/,georgetown
Hamilton College,HMT-40.png,https://scores.collegesailing.org/schools/hamilton/,hamilton
Hampton University,HU-40.png,https://scores.collegesailing.org/schools/hampton/,hampton
Hobart and William Smith Colleges,HWS-40.png,https://scores.collegesailing.org/schools/hobart-william-sm/,hobart-william-sm
Indiana University of Pennsylvania,IUP-40.png,https://scores.collegesailing.org/schools/indiana-pennsylvan/,indiana-pennsylvan
Mercyhurst University,MU-40.png,https://scores.collegesailing.org/schools/mercyhurst-university/,mercyhurst-university
Monmouth University,MON-40.png,https://scores.collegesailing.org/schools/monmouth/,monmouth
Ocean County College,OCN-40.png,https://scores.collegesailing.org/schools/ocean-county/,ocean-county
Old Dominion University,ODU-40.png,https://scores.collegesailing.org/schools/old-dominion/,old-dominion
Penn State Behrend,PSB-40.png,https://scores.collegesailing.org/schools/penn-state-behrend/,penn-state-behrend
Penn State University,PSU-40.png,https://scores.collegesailing.org/schools/penn-state/,penn-state
Princeton University,PRN-40.png,https://scores.collegesailing.org/schools/princeton/,princeton
Queen's University,QU-40.png,https://scores.collegesailing.org/schools/queen/,queen
Rochester Institute of Technology,RIT-40.png,https://scores.collegesailing.org/schools/rochester/,rochester
Rutgers University,RUT-40.png,https://scores.collegesailing.org/schools/rutgers/,rutgers
St. John's College,SJC-40.png,https://scores.collegesailing.org/schools/st-john/,st-john
St. Mary's College of Maryland,SMC-40.png,https://scores.collegesailing.org/schools/st-mary/,st-mary
Stevens Institute of Technology,STV-40.png,https://scores.collegesailing.org/schools/stevens/,stevens
SUNY Maritime College,NYM-40.png,https://scores.collegesailing.org/schools/ny-maritime/,ny-maritime
SUNY Stony Brook,SBU-40.png,https://scores.collegesailing.org/schools/stony-brook/,stony-brook
Syracuse University,SYR-40.png,https://scores.collegesailing.org/schools/syracuse/,syracuse
U. S. Merchant Marine Academy,KP-40.png,https://scores.collegesailing.org/schools/kings-point/,kings-point
U. S. Military Academy,AR-40.png,https://scores.collegesailing.org/schools/army/,army
U. S. Naval Academy,NA-40.png,https://scores.collegesailing.org/schools/navy/,navy
University of Buffalo,UB-40.png,https://scores.collegesailing.org/schools/buffalo/,buffalo
University of Delaware,DEL-40.png,https://scores.collegesailing.org/schools/delaware/,delaware
University of Maryland,MD-40.png,https://scores.collegesailing.org/schools/maryland/,maryland
University of Maryland/Baltimore County,MBC-40.png,https://scores.collegesailing.org/schools/maryland-baltimore/,maryland-baltimore
University of Pennsylvania,UPN-40.png,https://scores.collegesailing.org/schools/pennsylvania/,pennsylvania
University of Pittsburgh,PITT-40.png,https://scores.collegesailing.org/schools/pittsburgh/,pittsburgh
University of Rochester,ROC-40.png,https://scores.collegesailing.org/schools/rochester-maisa/,rochester-maisa
University of Toronto,TOR-40.png,https://scores.collegesailing.org/schools/toronto/,toronto
University of Virginia,UVA-40.png,https://scores.collegesailing.org/schools/virginia/,virginia
Villanova University,VIL-40.png,https://scores.collegesailing.org/schools/villanova/,villanova
Virginia Tech,VT-40.png,https://scores.collegesailing.org/schools/virginia-tech/,virginia-tech
Washington College,WAC-40.png,https://scores.collegesailing.org/schools/washington-college/,washington-college
Webb Institute,WEB-40.png,https://scores.collegesailing.org/schools/webb-institute/,webb-institute
William and Mary,WM-40.png,https://scores.collegesailing.org/schools/william-and-mary/,william-and-mary
Case Western Reserve University,CWR-40.png,https://scores.collegesailing.org/schools/case-western/,case-western
Cleveland State University,CLSU-40.png,https://scores.collegesailing.org/schools/cleveland-state-university/,cleveland-state-university
Denison University,DEN-40.png,https://scores.collegesailing.org/schools/denison/,denison
Grand Valley State University,GVS-40.png,https://scores.collegesailing.org/schools/grand-valley-state/,grand-valley-state
Hillsdale College,HILL-40.png,https://scores.collegesailing.org/schools/hillsdale-college/,hillsdale-college
Hope College,HOP-40.png,https://scores.collegesailing.org/schools/hope/,hope
Indiana University,IU-40.png,https://scores.collegesailing.org/schools/indiana/,indiana
Iowa State University,ISU-40.png,https://scores.collegesailing.org/schools/iowa-state/,iowa-state
John Carroll University,JCU-40.png,https://scores.collegesailing.org/schools/john-carroll/,john-carroll
Lake Forest College,LFC-40.png,https://scores.collegesailing.org/schools/lake-forest/,lake-forest
Marquette University,MRQ-40.png,https://scores.collegesailing.org/schools/marquette/,marquette
Miami University,MUO-40.png,https://scores.collegesailing.org/schools/miami-university/,miami-university
Michigan State University,MSU-40.png,https://scores.collegesailing.org/schools/michigan-state/,michigan-state
Michigan Technological University,MTU-40.png,https://scores.collegesailing.org/schools/michigan-tech/,michigan-tech
Northern Michigan University,NMU-40.png,https://scores.collegesailing.org/schools/northern-michigan/,northern-michigan
Northwestern University,NWU-40.png,https://scores.collegesailing.org/schools/northwestern/,northwestern
Ohio State University,OSU-40.png,https://scores.collegesailing.org/schools/ohio-state/,ohio-state
Ohio University,OU-40.png,https://scores.collegesailing.org/schools/ohio/,ohio
Purdue University,PUR-40.png,https://scores.collegesailing.org/schools/purdue/,purdue
Saginaw Valley State University,SVSU-40.png,https://scores.collegesailing.org/schools/saginaw-valley/,saginaw-valley
Saint Mary's College,stmc-40.png,https://scores.collegesailing.org/schools/st-marys-college/,st-marys-college
University of Chicago,CHI-40.png,https://scores.collegesailing.org/schools/chicago/,chicago
University of Cincinnati,UCIN-40.png,https://scores.collegesailing.org/schools/cincinnati/,cincinnati
University of Illinois,ILL-40.png,https://scores.collegesailing.org/schools/illinois/,illinois
University of Iowa,IOWA-40.png,https://scores.collegesailing.org/schools/iowa/,iowa
University of Michigan,MICH-40.png,https://scores.collegesailing.org/schools/michigan/,michigan
University of Minnesota,UMN-40.png,https://scores.collegesailing.org/schools/minnesota/,minnesota
University of Nebraska Lincoln,UNL-40.png,https://scores.collegesailing.org/schools/nebraska-lincoln/,nebraska-lincoln
University of Notre Dame,ND-40.png,https://scores.collegesailing.org/schools/notre-dame/,notre-dame
University of Saint Thomas,STT-40.png,https://scores.collegesailing.org/schools/saint-thomas/,saint-thomas
University of Toledo,TOL-40.png,https://scores.collegesailing.org/schools/toledo/,toledo
University of Wisconsin,WIS-40.png,https://scores.collegesailing.org/schools/wisconsin/,wisconsin
Washington University,WUN-40.png,https://scores.collegesailing.org/schools/washington/,washington
Western Michigan University,WMU-40.png,https://scores.collegesailing.org/schools/western-michigan/,western-michigan
Amherst College,AMH-40.png,https://scores.collegesailing.org/schools/amherst/,amherst
Bates College,BAT-40.png,https://scores.collegesailing.org/schools/bates/,bates
Bentley University,BENT-40.png,https://scores.collegesailing.org/schools/bentley/,bentley
Boston College,BC-40.png,https://scores.collegesailing.org/schools/boston-college/,boston-college
Boston University,BU-40.png,https://scores.collegesailing.org/schools/boston-university/,boston-university
Bowdoin College,BOW-40.png,https://scores.collegesailing.org/schools/bowdoin/,bowdoin
Brandeis University,BDS-40.png,https://scores.collegesailing.org/schools/brandeis/,brandeis
Brown University,BR-40.png,https://scores.collegesailing.org/schools/brown/,brown
Connecticut College,CC-40.png,https://scores.collegesailing.org/schools/connecticut-college/,connecticut-college
Dartmouth College,DART-40.png,https://scores.collegesailing.org/schools/dartmouth/,dartmouth
Fairfield University,FAR-40.png,https://scores.collegesailing.org/schools/fairfield/,fairfield
Harvard University,HAR-40.png,https://scores.collegesailing.org/schools/harvard/,harvard
Maine Maritime Academy,MMA-40.png,https://scores.collegesailing.org/schools/maine-maritime/,maine-maritime
Massachusetts Institute of Technology,MIT-40.png,https://scores.collegesailing.org/schools/mit/,mit
Massachusetts Maritime Academy,MSM-40.png,https://scores.collegesailing.org/schools/mass-maritime/,mass-maritime
McGill University,MCG-40.png,https://scores.collegesailing.org/schools/mcgill/,mcgill
Middlebury College,MID-40.png,https://scores.collegesailing.org/schools/middlebury/,middlebury
Northeastern University,NU-40.png,https://scores.collegesailing.org/schools/northeastern/,northeastern
Olin College of Engineering,OLIN-40.png,https://scores.collegesailing.org/schools/olin/,olin
Roger Williams University,RW-40.png,https://scores.collegesailing.org/schools/roger-williams/,roger-williams
Sacred Heart University,SH-40.png,https://scores.collegesailing.org/schools/sacred-heart/,sacred-heart
Salve Regina University,SR-40.png,https://scores.collegesailing.org/schools/salve-regina/,salve-regina
Tufts University,TUF-40.png,https://scores.collegesailing.org/schools/tufts/,tufts
U. S. Coast Guard Academy,CGA-40.png,https://scores.collegesailing.org/schools/coast-guard/,coast-guard
University of Connecticut,UCONN-40.png,https://scores.collegesailing.org/schools/connecticut/,connecticut
University of Maine,ume-40.png,https://scores.collegesailing.org/schools/maine/,maine
University of Massachusetts at Amherst,UMASS-40.png,https://scores.collegesailing.org/schools/mass-amherst/,mass-amherst
University of Massachusetts at Dartmouth,UMD-40.png,https://scores.collegesailing.org/schools/umass-dartmouth/,umass-dartmouth
University of New Hampshire,UNH-40.png,https://scores.collegesailing.org/schools/new-hampshire/,new-hampshire
University of Rhode Island,URI-40.png,https://scores.collegesailing.org/schools/rhode-island/,rhode-island
University of Vermont,UVM-40.png,https://scores.collegesailing.org/schools/vermont/,vermont
Wentworth Institute of Technology,WIT-40.png,https://scores.collegesailing.org/schools/wentworth-institute/,wentworth-institute
Wesleyan University,WES-40.png,https://scores.collegesailing.org/schools/wesleyan/,wesleyan
Williams College,WIL-40.png,https://scores.collegesailing.org/schools/williams/,williams
Worcester Polytechnic Institute,WPI-40.png,https://scores.collegesailing.org/schools/worcester-polytech/,worcester-polytech
Yale University,YAL-40.png,https://scores.collegesailing.org/schools/yale/,yale
Oregon State University,ORST-40.png,https://scores.collegesailing.org/schools/oregon-state/,oregon-state
University of British Columbia,UBC-40.png,https://scores.collegesailing.org/schools/british-columbia/,british-columbia
University of Oregon,OR-40.png,https://scores.collegesailing.org/schools/oregon/,oregon
University of Victoria,VIC-40.png,https://scores.collegesailing.org/schools/victoria/,victoria
University of Washington,UW-40.png,https://scores.collegesailing.org/schools/washington-nwicsa/,washington-nwicsa
Western Washington University,WWU-40.png,https://scores.collegesailing.org/schools/western-washington/,western-washington
Arizona State University,ASU-40.png,https://scores.collegesailing.org/schools/arizona-state/,arizona-state
Cal Poly University S.L.O.,SLO-40.png,https://scores.collegesailing.org/schools/cal-poly/,cal-poly
California Maritime Academy,CMA-40.png,https://scores.collegesailing.org/schools/cal-maritime/,cal-maritime
California State University Channel Islands,CSUCI-40.png,https://scores.collegesailing.org/schools/channel-islands/,channel-islands
California State University Monterey Bay,CSUM-40.png,https://scores.collegesailing.org/schools/monterey-bay/,monterey-bay
Gonzaga University,ZAGS-40.png,https://scores.collegesailing.org/schools/gonzaga/,gonzaga
San Diego State University,SDSU-40.png,https://scores.collegesailing.org/schools/san-diego-state/,san-diego-state
Santa Clara University,SCU-40.png,https://scores.collegesailing.org/schools/santa-clara/,santa-clara
Stanford University,STAN-40.png,https://scores.collegesailing.org/schools/stanford/,stanford
University of California at Berkeley,CAL-40.png,https://scores.collegesailing.org/schools/berkeley/,berkeley
University of California at Davis,UCD-40.png,https://scores.collegesailing.org/schools/uc-davis/,uc-davis
University of California at Irvine,UCI-40.png,https://scores.collegesailing.org/schools/uc-irvine/,uc-irvine
University of California at Los Angeles,UCLA-40.png,https://scores.collegesailing.org/schools/uc-los-angeles/,uc-los-angeles
University of California at San Diego,UCSD-40.png,https://scores.collegesailing.org/schools/uc-san-diego/,uc-san-diego
University of California at Santa Barbara,UCSB-40.png,https://scores.collegesailing.org/schools/uc-santa-barbara/,uc-santa-barbara
University of California at Santa Cruz,UCSC-40.png,https://scores.collegesailing.org/schools/uc-santa-cruz/,uc-santa-cruz
University of Hawaii,UH-40.png,https://scores.collegesailing.org/schools/hawaii/,hawaii
University of Southern California,USC-40.png,https://scores.collegesailing.org/schools/southern-cal/,southern-cal
Auburn University,AUB-40.png,https://scores.collegesailing.org/schools/auburn/,auburn
Clemson University,CLE-40.png,https://scores.collegesailing.org/schools/clemson/,clemson
College of Charleston,COC-40.png,https://scores.collegesailing.org/schools/charleston/,charleston
College of Coastal Georgia,ccga-40.png,https://scores.collegesailing.org/schools/college-of-coastal-georgia/,college-of-coastal-georgia
Davidson College,DAV-40.png,https://scores.collegesailing.org/schools/davidson/,davidson
Duke University,DUK-40.png,https://scores.collegesailing.org/schools/duke/,duke
East Carolina University,ECU-40.png,https://scores.collegesailing.org/schools/east-carolina/,east-carolina
Eckerd College,ECK-40.png,https://scores.collegesailing.org/schools/eckerd/,eckerd
Embry-Riddle University,EMB-40.png,https://scores.collegesailing.org/schools/embry-riddle/,embry-riddle
Florida Institute of Technology,FIT-40.png,https://scores.collegesailing.org/schools/florida-tech/,florida-tech
Florida International University,fiu-40.png,https://scores.collegesailing.org/schools/fiu/,fiu
Florida State University,FSU-40.png,https://scores.collegesailing.org/schools/florida-state/,florida-state
Georgia Institute of Technology,GT-40.png,https://scores.collegesailing.org/schools/georgia-tech/,georgia-tech
Jacksonville University,JAX-40.png,https://scores.collegesailing.org/schools/jacksonville/,jacksonville
North Carolina State University,NCS-40.png,https://scores.collegesailing.org/schools/north-carolina-state/,north-carolina-state
Palm Beach Atlantic University,PBAU-40.png,https://scores.collegesailing.org/schools/palm-beach-atlantic/,palm-beach-atlantic
Rollins College,ROL-40.png,https://scores.collegesailing.org/schools/rollins/,rollins
Sewanee University of the South,SEW-40.png,https://scores.collegesailing.org/schools/sewanee/,sewanee
The Citadel,CIT-40.png,https://scores.collegesailing.org/schools/citadel/,citadel
University of Central Florida,UCF-40.png,https://scores.collegesailing.org/schools/university-of-central-florida/,university-of-central-florida
University of Florida,FLA-40.png,https://scores.collegesailing.org/schools/florida/,florida
University of Georgia,GA-40.png,https://scores.collegesailing.org/schools/georgia/,georgia
University of Miami,MIA-40.png,https://scores.collegesailing.org/schools/miami/,miami
University of North Carolina,UNC-40.png,https://scores.collegesailing.org/schools/north-carolina/,north-carolina
University of North Carolina at Wilmington,UNCW-40.png,https://scores.collegesailing.org/schools/unc-wilmington/,unc-wilmington
University of South Carolina,SC-40.png,https://scores.collegesailing.org/schools/south-carolina/,south-carolina
University of South Florida,USF-40.png,https://scores.collegesailing.org/schools/south-florida/,south-florida
University of Tennessee,UTN-40.png,https://scores.collegesailing.org/schools/tennessee/,tennessee
Vanderbilt University,VAN-40.png,https://scores.collegesailing.org/schools/vanderbilt/,vanderbilt
Wake Forest University,WFU-40.png,https://scores.collegesailing.org/schools/wake-forest/,wake-forest
Baylor University,BAY-40.png,https://scores.collegesailing.org/schools/baylor/,baylor
Loyola University New Orleans,LU-40.png,https://scores.collegesailing.org/schools/loyola/,loyola
Rice University,RICE-40.png,https://scores.collegesailing.org/schools/rice/,rice
Texas A&M University,TAMU-40.png,https://scores.collegesailing.org/schools/texas-am/,texas-am
Texas A&M University at Corpus Christi,TAMCC-40.png,https://scores.collegesailing.org/schools/texas-am-christ/,texas-am-christ
Texas A&M University at Galveston,TAMUG-40.png,https://scores.collegesailing.org/schools/texas-am-galveston/,texas-am-galveston
Texas Christian University,TCU-40.png,https://scores.collegesailing.org/schools/texas-christian-university/,texas-christian-university
Tulane University,TUL-40.png,https://scores.collegesailing.org/schools/tulane/,tulane
University of Central Oklahoma,UCO-40.png,https://scores.collegesailing.org/schools/central-oklahoma/,central-oklahoma
University of Kansas,KU-40.png,https://scores.collegesailing.org/schools/kansas/,kansas
University of North Texas,UNT-40.png,https://scores.collegesailing.org/schools/north-texas/,north-texas
University of Oklahoma,UOK-40.png,https://scores.collegesailing.org/schools/oklahoma/,oklahoma
University of South Alabama,USA-40.png,https://scores.collegesailing.org/schools/south-alabama/,south-alabama
University of Texas,UT-40.png,https://scores.collegesailing.org/schools/texas/,texas
