Week 18,rose-bowl,Rose Bowl,Southern Cal,NOT ALLOWED  Interconference,2 Divisions,01/02/2016,Official,
Week 18,rose-bowl,Rose Bowl Regatta,Southern Cal,NOT ALLOWED  Interconference,2 Divisions,01/03/2015,Official,
Week 18,rose-bowl,Rose Bowl Regatta,Southern Cal,NOT ALLOWED  Interconference,2 Divisions,01/04/2014,Official,
Week 18,2020-rose-bowl,2020 Rose Bowl - College,Southern Cal,NOT ALLOWED  Interconference,2 Divisions,01/04/2020,Official,
Week 19,rose-bowl-regatta,Rose Bowl Regatta,Southern Cal,NOT ALLOWED  Interconference,2 Divisions,01/05/2013,Official,
Week 19,2019-rose-bowl,2019 Rose Bowl Regatta,Southern Cal,NOT ALLOWED  Interconference,2 Divisions,01/05/2019,Official,
Week 19,rose-bowl-2018,Rose Bowl Regatta 2018,Southern Cal,NOT ALLOWED  Interconference,2 Divisions,01/06/2018,Official,
Week 19,2024-rose-bowl,2024 Rose Bowl Regatta,Southern Cal,Cross Regional,2 Divisions,01/06/2024,Official,
Week 19,rose-bowl-2012,Rose Bowl 2012,Southern Cal,NOT ALLOWED  Interconference,2 Divisions,01/07/2012,Official,
Week 19,rose-bowl-backup,Rose Bowl,Southern Cal,NOT ALLOWED  Interconference,2 Divisions,01/07/2017,In progress: 3B,
Week 19,2023-rose-bowl,2023 Rose Bowl Regatta - College,Southern Cal,Cross Regional,2 Divisions,01/07/2023,In progress: 6B,
Week 19,u-s-c-rose-bowl,26th U S C Rose Bowl,Southern Cal,NOT ALLOWED  Interconference,2 Divisions,01/08/2011,Official,
Week 19,2022-rose-bowl,2022 Rose Bowl Regatta,Southern Cal,NOT ALLOWED  Promotional,2 Divisions,01/08/2022,Official,
Preweek 3,peter-wenner-rainbow-invitational,Peter Wenner Rainbow Invitational,Hawaii,NOT ALLOWED  In-Conference,2 Divisions,01/14/2023,Official,
Preweek 3,andrew-johnson,Peter Wenner Rainbow Invite,Hawaii,Regional,2 Divisions,01/15/2022,Official,
Preweek 3,peter-wenner-rainbow-invite,Peter Wenner Rainbow Invite,Hawaii,NOT ALLOWED  Promotional,2 Divisions,01/16/2016,Official,
Preweek 3,pj-wenner-rainbow-invite-2015,PJ Wenner Memorial Rainbow Invite,Hawaii,NOT ALLOWED  Promotional,2 Divisions,01/17/2015,Official,
Preweek 2,peter-wenner-invitational,Peter Wenner Invitational,Hawaii,NOT ALLOWED  Promotional,2 Divisions,01/18/2014,Official,
Preweek 2,peter-wenner-rainbow-invite,Peter Wenner Rainbow Invite,Hawaii,NOT ALLOWED  Promotional,2 Divisions,01/18/2020,Official,
Preweek 2,pj-wenner-rainbow-invite,PJ Wenner Rainbow Invite,Hawaii,NOT ALLOWED  Promotional,2 Divisions,01/19/2013,Official,
Preweek 2,peter-wenner-rainbow-invite,Peter Wenner Rainbow Invite,Hawaii,NOT ALLOWED  Promotional,2 Divisions,01/19/2019,Official,
Preweek 2,peter-wenner-rainbow-invite,Peter Wenner Rainbow Invite,Hawaii,NOT ALLOWED  Interconference,2 Divisions,01/20/2018,Official,
Preweek 2,peter-wenner-rainbow-invite,Peter Wenner Rainbow Invite,Hawaii,Regional,2 Divisions,01/20/2024,Official,
Preweek 2,pj-wenner-rainbow-invite,PJ Wenner Rainbow Invite,Hawaii,NOT ALLOWED  In-Conference,2 Divisions,01/21/2012,Official,
Preweek 2,peter-wenner-rainbow-invite,Peter Wenner Rainbow Invite,Hawaii,NOT ALLOWED  Promotional,2 Divisions,01/21/2017,Official,
Preweek 2,peter-wenner-rainbow-invite,Peter Wenner Rainbow Invite,Hawaii,NOT ALLOWED  Promotional,2 Divisions,01/22/2011,Official,
Preweek 2,jeff-simon,Jeff Simon Memorial Regatta,UC San Diego,NOT ALLOWED  In-Conference,2 Divisions,01/23/2016,Official,
Preweek 2,jeff-simon,Jeff Simon Memorial Regatta,UC San Diego,NOT ALLOWED  In-Conference,2 Divisions,01/24/2015,Official,
Preweek 1,jeff-simon-south-1,"Jeff Simon, South 1",UC San Diego,NOT ALLOWED  In-Conference,2 Divisions,01/25/2014,Official,
Preweek 1,q1,Qualifier 1,Texas,NOT ALLOWED  In-Conference,2 Divisions,01/25/2014,Official,
Preweek 1,jeff-simon-varsity,Jeff Simon Memorial Regatta,UC San Diego,NOT ALLOWED  In-Conference,2 Divisions,01/25/2020,Official,
Preweek 1,seisa-qualifier-1,SEISA Qualifier 1,Texas,NOT ALLOWED  In-Conference,2 Divisions,01/26/2013,Official,